,title,propertysize,totalprice,roomcount,buildyear,floornumber,totalfloors,characteristics,features,exchangeable,description,url,crawldate,city,totalprice_int,buildyear_int,elevator,warehouse,parking,document_type,pricepermeter,predicted_neighborhood,text
4218,فروش واحدهای کوهک (برج و شخصی),104.0,10٬300٬000٬000 تومان,2.0,1400,,,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,,"با سلام
کافی هستم متخصص خرید و فروش و تهاتر
در منطقه کوهک 
واحدها در متراژهای مختلف با امکانات 
2 خواب و 3 خواب با قیمت‌های مناسب
هم برای سرمایه گذاری هم برای سکونت
برج و شخصی ساز
در طبقات مختلف
موقعیت عالی متناسب با بودجه شما
شروع قیمت پایه از 7 میلیارد 
تا خانه دار شدن شما یک تماس فاصله است
جهت خرید و فروش واحد خود با ما در تماس باشید

مشارکت هم در ساخت و ساز داریم

املاک 4030 با 25 سال سابقه درخشان در امر خرید و فروش با کارشناسان مجرب در خدمت شماست

ما تا آخرین قدم در کنار شما هستیم",https://divar.ir/v/فروش-واحدهای-کوهک-برج-و-شخصی/wZVG-5-b,2025-02-15,tehran,10300000000.0,1400.0,Yes,Yes,Yes,,99038461.53846154,کوهک,کوهک
4219,واحد3 خواب خوش نقشه/دوجهت افتابگیر/لوکیشن بدون عیب,140.0,18٬500٬000٬000 تومان,3.0,1385,,,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,,"✅اپارتمان فول امکانات بدون مشابه در منطقه.

⏺️پارکینگ اتباری اسانسور 

⏺️سرایداری مقیم 

⏺️ملک شمالی واحد جنوبی 

⏺️دسترسی بی نظیر به اتوبان صدر خیابان اصلی و……

⏺️واحد و مشاعات فول باز سازی شده 

⏺️زیر قیمت کل 3 خواب های منطقه 

 ✅جهت دریافت اطلاعات بیشتر و بازدید و معرفی فایل های مشابه زیر قیمت منطقه تماس حاصل فرمایید 

✅مشاور و متخصص امور ملکی منطقه 3 شیخی 
دپارتمان املاک ویرا «شمرون»

✅پاسخگویی 24 ساعته بازدید لحظه ای .",https://divar.ir/v/واحد۳-خواب-خوش-نقشه-دوجهت-افتابگیر-لوکیشن-بدون-عیب/wZtyfX0b,2025-02-15,tehran,18500000000.0,1385.0,Yes,Yes,Yes,,132142857.14285715,شمیران,شمیران
4220,47 متر زیر همکف آذری (اردشیر) پرداختی فقط 1650,47.0,1٬650٬000٬000 تومان,1.0,1375,,,وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ ندارد | انباری ندارد,,"آذری قدرت پاکی افراخته

47متر تک خواب مستر 

طبقه زیرهمکف کلا 3 تا پله واقعی
 ورودی مجزا تکواحدی 
صفرتاصد بازسازی شده 
کف پارکت کابینت mdf گاز رومیزی هود 

 25متر قدرالسهم (سهم از زمین )

350 در رهن مستاجر 
پرداختی فقط 1/650 
قیمت کل 2 میلیارد 

اسماعیلی",https://divar.ir/v/۴۷-متر-زیر-همکف-آذری-اردشیر-پرداختی-فقط-۱۶۵۰/wZsKLeBJ,2025-02-15,tehran,1650000000.0,1375.0,No,No,No,,35106382.97872341,آذری,آذری
4221,85 متر شمال جردن با 12 متر پاسیو اختصاصی و لابی,85.0,16٬300٬000٬000 تومان,2.0,1394,,,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,,"85 متر بدون پرتی 

تاپ لوکیشن شمال جردن

خوش قیمت

به قیمت رسیده

پارکینگ انباری آسانسور 

لابی 

سرایداری مقیم 

12 متر پاسیو اختصاصی

نورگیر عالی

دسترسی عالی به بزرگراههای اصلی",https://divar.ir/v/۸۵-متر-شمال-جردن-با-۱۲-متر-پاسیو-اختصاصی-و-لابی/wZwyFnC2,2025-02-15,tehran,16300000000.0,1394.0,Yes,Yes,Yes,,191764705.88235295,جردن,جردن
4222,آپارتمان 115 متری 3 خواب مقابل پارک کوروش,115.0,13٬850٬000٬000 تومان,3.0,1383,1.0,5.0,تعداد واحد در طبقه: ۲ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن ندارد | جنس کف سنگ | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم موتورخانه,,"بنام معمار هستی 


✅ آپارتمان 115 متری  ، خوش نقشه 

✅ 3 خواب بزرگ و پر نور 

✅ هال پذیرایی بزرگ قابلیت چیدمان چندین دست مبل 

✅ داری پاسیوی اختصاصی حدود 5 متر 

✅ آشپزخانه بزرگ و مجهز 

✅ سرایدار مقیم 

✅ دوربین مداربسته 


فروشنده 100 درصد 

➖➖➖➖➖➖➖➖➖➖➖➖➖
املاک رضا : شریعتی ، مقابل پارک کوروش 
➖➖➖➖➖➖➖➖➖➖➖➖➖


مشاور شما : نوری",https://divar.ir/v/آپارتمان-۱۱۵-متری-۳-خواب-مقابل-پارک-کوروش/wZSx7d3X,2025-02-15,tehran,13850000000.0,1383.0,Yes,Yes,Yes,,120434782.60869566,شریعتی,شریعتی
4223,50متری1 خواب جنت آباد( مناسب سرمایه گذاری,50.0,4٬700٬000٬000 تومان,1.0,1383,,,وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ ندارد | انباری ندارد,,"جنت آباد شمالی.  فوری فوری 

                   مناسب سرمایه گذاری
 50 متری 1 خواب ..سالن پرده خور ..خطی روبه افتاب 
کف پارکت نقشه عالی 

درکل 6 واحدی فروش فوری فوری

مشاور لطفی",https://divar.ir/v/۵۰متری۱-خواب-جنت-آباد-مناسب-سرمایه-گذاری/wZwiFuPR,2025-02-15,tehran,4700000000.0,1383.0,No,No,No,,94000000.0,جنتآباد,جنتآباد
4224,72متر/2خواب/کم واحد/بازسازی شده/2پارکینگ سندی,72.0,9٬430٬000٬000 تومان,2.0,1394,,,وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری,,"توضیحات سلام بنام خالق زیبایی ها  
❇️بهترین انتخاب متناسب بودجه شما❇️  
✅فوری 
✅سرمایه گذاری ___________________________________________________ 72متر
2خواب استاندارد
 سالن خوش چیدمان
پذیرایی خوش چیدمان بدون پرتی
 آشپزخانه پرکابینت  
بازسازی شده  
کم واحد
دارای 2پارکینگ سندی
 مشاعات عالی تاپ لوکیشن منطقه  
دسترسی های خوب و ایده آل به مراکز خرید و تفریحی  امکان گرفتن اخذ وام بانکی تا سقف 900 میلیون  رهن واحد تا مبلغ 1میلیارد  فایل شخصی همکار تماس نگیرد *******************************************************  کافیست نقدینگی خود را اعلام نمایید تا فایل های مشابه و متناسب با بودجه شما را معرفی نماییم  مشاور و کارشناس فروش: خانم ستاری دپارتمان بزرگ تاج محل",https://divar.ir/v/۷۲متر-۲خواب-کم-واحد-بازسازی-شده-۲پارکینگ-سندی/wZmufaGW,2025-02-15,tehran,9430000000.0,1394.0,Yes,Yes,Yes,,130972222.22222222,قبا,قبا
4226,آپارتمان 64متر/با پارکینگ سلامت/قلب هفت حوض,64.0,5٬500٬000٬000 تومان,2.0,1386,1.0,4.0,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور ندارد | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,,"با سلام و خسته نباشید خدمت شما 

آپارتمان 64متر / دو خواب 

طبقه اول (طبقه اول 2 واحدی و مابقی طبقات تک واحد )

پارکینگ سندی/ انباری / بالکن 

 سند مسکونی با مقعیت اداری /مناسب مشاغل کم رفت و آمد (مطب،حسابداری،دفتر وکالت) 
 
آماده تخلیه و جا به جایی",https://divar.ir/v/آپارتمان-۶۴متر-با-پارکینگ-سلامت-قلب-هفت-حوض/wZr2RN8c,2025-02-15,tehran,5500000000.0,1386.0,No,Yes,Yes,تک‌برگ ,85937500.0,هفت حوض,هفت حوض
4227,آپارتمان دوخواب تک واحدی مترو فرهنگسرا جشنواره,80.0,4٬490٬000٬000 تومان,2.0,1382,2.0,4.0,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: غربی | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری | بالکن ندارد | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | تأمین‌کننده آب گرم آبگرم‌کن,,"سلام و عرض ادب
 
✅80متر دوخواب 
✅تکواحدی 
✅نورگیر مستقیم رو به آفتاب 
✅پارکینگ و انباری سندی 
✅پارکینگ قابلیت جای پارک 2ماشین
✅مشاعات تمیز
✅ بقیمت رسیده 
فاصله تا مترو فرهنگسرا 400متر",https://divar.ir/v/آپارتمان-دوخواب-تک-واحدی-مترو-فرهنگسرا-جشنواره/wZwKGaTf,2025-02-15,tehran,4490000000.0,1382.0,No,Yes,Yes,تک‌برگ ,56125000.0,مترو,مترو
4229,فروش آپارتمان 60 متری در شادمهر / فول دیزاین شده,60.0,5٬450٬000٬000 تومان,1.0,1380,4.0,5.0,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور | پارکینگ ندارد | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم موتورخانه,,"هوالرزاق 

60 متر
تکخواب 

5 طبقه دو واحدی 
طبقه 4 

سال ساخت 80 
نما سنگ 
ملک دو نبش 
سالن پرده خور 
دو طرف نور گیر 

آسانسور و بالکن 
فول بازسازی شده 0 تا 100 
اماده تخلیه 

لوکیشن : شادمهر تقاطع نیک روش 

مشاور شما : بزرگی 

طوسی",https://divar.ir/v/فروش-آپارتمان-۶۰-متری-در-شادمهر-فول-دیزاین-شده/wZoeWQIq,2025-02-15,tehran,5450000000.0,1380.0,Yes,Yes,No,تک‌برگ ,90833333.33333333,شادمهر,شادمهر
