Title,PropertySize,TotalPrice,RoomCount,BuildYear,FloorNumber,TotalFloors,Characteristics,Features,Description,URL,CrawlDate
80 متری اول سجادیه حاشیه خوش نقشه,80,2٬375٬000٬000 تومان,2,1388,1,3,تعداد واحد در طبقه: ۳ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور ندارد | پارکینگ | انباری | بالکن ندارد | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"طبقه اول 
مورد 70 متری اول رحمانیه طبقه اول موجود است 
موقعیت عالی 
9 واحدی 
نور افتاب 
تخلیه و کلید
دست راسی بسیار اسان به تمام امکانات
درب برقی 
انباری 
خوش نقشه 
2 خواب نور
اشپزخونه های گلس نو
پارکینگ سندی 
تخفیف پای قراداد
شیرازی",https://divar.ir/v/۸۰-متری-اول-سجادیه-حاشیه-خوش-نقشه/wZ6hj8gy,2025-02-15
فروش آپارتمان 135 متری 3 خوابه در صدف,135,5٬850٬000٬000 تومان,3,1396,3,4,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر گازی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"وقت بخیر .

آپارتمان 135 متری واقع دربلوارصدف 
3 خوابه بسیارخوش نقشه غرق در نور
قابلیت رهن تامبلغ 800 میلیون تومان 
سندملکی 

املاک لطفاتماس نگیرد ..",https://divar.ir/v/فروش-آپارتمان-۱۳۵-متری-۳-خوابه-در-صدف/wZk2VYvz,2025-02-15
آپارتمان 103 متری /برند معتبر / محمدیه 13,103,3٬850٬000٬000 تومان,2,1400,Not Found,Not Found,سند: تک‌برگ | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش داکت اسپلیت | گرمایش داکت اسپلیت | تأمین‌کننده آب گرم پکیج,"✴️ همکاری داریم ✴️

103 /مهندسی ساز /بهترین طبق
پذیرایی و خواب آفتابگیر 
تاب ترین لوکیشن الهیه ( بلوک 5 ) 
برند معتبر منطقه /کار خاص و قوی 
دارای لابی /انباری / پارکینگ مهمان 
دو خواب نورگیر / کمد 
امتیازات مستقل 
در حال تخلیه 

قابلیت اخذ وام تا 800 م 
قابلیت رهن تا 500 م 

جهت کسب اطلاعات بیشتر تماس بگیرید 
ساعت پاسخگویی از 9 صبح تا 12 شب 

✅ کارگزاری مسکن نوایی رحمانیه 12",https://divar.ir/v/آپارتمان-۱۰۳-متری-برند-معتبر-محمدیه-۱۳/wZYGoYL_,2025-02-15
خیابان بهار 150 متری,150,9٬500٬000٬000 تومان,3,1385,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"مشاورین املاک محمدی
✨سی سال تعهد صادقانه، اعتبار ماست✨

- آپارتمان 150 متر
- * اتاق خواب 3  _( 2 خواب مستر )
- طبقه 1 با آسانسور
- * 20سال ساخت
-پارکینگ بدون مزاحمت
-بازسازی شده
- شمالی رو به کوچه
- مجموعه 7 واحدی 
برای اطلاع از موارد مشابه تماس بگیرید.
✨کارشناس امور ملکی ارادتمند شاملو ✨
بلوار سجاد - چهارراه بهار - نبش پاساژ بهار - املاک محمدی",https://divar.ir/v/خیابان-بهار-۱۵۰-متری/wZwSU9lM,2025-02-15
فروش زمین 70 متری در امیریه,Not found,70 متر,Not found,Not found,Not Found,Not Found,not found,not found,سند تک برگ، منطقه رو به رشد عالی ادرس چاهشک شهید باغبان 27.4 رسالت 7.4 تخفیف جزئی پای معامله. قابلیت معاوضه باخونه مبلغ سر هم پرداخت میشه,https://divar.ir/v/فروش-زمین-۷۰-متری-در-امیریه/wZkumxaX,2025-02-15
آپارتمان 70متری/طبقه اول/یک خوابه/فدائیان اسلام,70,1٬480٬000٬000 تومان,1,1380,1,2,تعداد واحد در طبقه: ۱ | سند: قول‌نامه‌ای | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ ندارد | انباری ندارد | بالکن ندارد | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,"﷽                               

⚜⚜⚜⚜⚜مشاورین املاک سراسری عمارت شعبه VIP⚜⚜⚜⚜⚜

⚜⚜⚜⚜⚜حس خوب خانه دار شدن ⚜⚜⚜⚜⚜


⬅️⬅️آدرس دفتر املاک سراسری عمارت:
✅✅انتهایی _چمن25_ بین بنی هاشم 18_20

✅✅مشاور شما 
✅✅((((سالاری)))
________________________________
✅آپارتمان70متری/طبقه اول/یک خوابه/سند قولنامه/فدائیان اسلام 26
✅لوکیشن عالی 
✅شمالی
✅کابینت MDF
✅تعداد طبقات :2
✅شیرآلات اهرمی 
✅نمایی ساختمان سرامیک 
✅غرق نور
✅آب گرمکن 
✅سیستم سرمایشی کولر آبی 
✅سیستم گرمایشی بخاری 
✅داخل کوچه دومتری درب روبرو 
_____________________________
✅✅آدرس این فایل فقط در مراجعه حضوری شما ✅✅
✅دسترسی آسان به حرم مطهر ومترو و مرکز خرید 
✅موارد مشابه موجود می باشد .
✅منتظر تماس شما هستیم( فرصتی جدید) 

✳ساعت پاسخ گویی:9تا14_16:30تا22✳",https://divar.ir/v/آپارتمان-۷۰متری-طبقه-اول-یک-خوابه-فدائیان-اسلام/wZwuT4al,2025-02-15
فروش آپارتمان 125 متری 2 خوابه در جانباز,125,3٬640٬000٬000 تومان,2,1402,6,6,تعداد واحد در طبقه: ۲ | سند: قول‌نامه‌ای | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی,"✨سلام و ارادت ,✨
✅ملک فوق واقع در جانباز 13
✅شیک 
✅واکالت قولنامه ای 
✅2 واحدی 
✅در 6 طبقه
✅ویو ابدی
✅این ملک ارزش دیدن دارد
✨بازدید با هماهنگی✨
            ✳️مشاور همیشگی شما:شادی مرتضوی✳️
✨املاک ایپک✨",https://divar.ir/v/فروش-آپارتمان-۱۲۵-متری-۲-خوابه-در-جانباز/wZw6zT7I,2025-02-15
فروش باغ در گلبهار,120,500,2,1398,Not Found,Not Found,سند: قول‌نامه‌ای | جهت ساختمان: شمالی | وضعیت واحد: بازسازی شده,پارکینگ | انباری | بالکن | جنس کف سنگ | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"باسلام
باغ فروشی در انتهای بلوار امام رضا بعد دانشگاه آزاد روستای خیج
مشرف به بند 
استخر آب گرم
کارهای سندشم انجام دادم
پکیج
گرمایش از کف
دوبلکس 120متر بنا
هواساز
کف خونه سنگ
60متر رادیات 
باربیکیو
آلاچیق
دو سرویس بهداشتی داخل و بیرون
دو عدد تانکر آب
امتیازات آب و برق و گاز  مجزا
تسویه آب
لوسر دوعدد
تمام خونه قرنیز و تاشو و پوستر های منظره شیک
5عدد دوربین دید در شب
دزدگیر
نما سنگ حدود 400م فقط نماهنگ شده
دارای درختان میوه همه مدل
گلکاری شده شیک و زیبا",https://divar.ir/v/فروش-باغ-در-گلبهار/wZTqXdyB,2025-02-15
Not Found,50,800٬000٬000 تومان,1,1395,Not Found,Not Found,تعداد واحد در طبقه: ۸ | سند: قول‌نامه‌ای | جهت ساختمان: شمالی | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ ندارد | انباری | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,"سلام .
آپارتمان 50 متری یکخواب واقع در میثاق 1 آزاده  30 موقعیت مکانی خوب 
  امتیازات .آب ، برق ، گاز .مستقل 
  نقاشی 
  گاز رو میزی 
  کابینت ام ، دی ، اف 
  کمد دیواری 
      
موارددیگه هم موجود هست از 750 م به بالا
با 750 م صاحب خونه شوید .

50 متری طبقه اول با پارکینگ 1100 میلیارد 
50 متری طبقه اول با پارکینگ 150 میلیارد و 

قابلیت رهن در صورت کم بودن مبلغ
150 الی 200 

 ( عضو رسمی اتحادیه املاک ضمنا کلیه قراردادها پرینتی و ثبت سامانه و رسمی می باشد )

  گروه مشاورین املاک وصال سریعترین مرکز خرید و فروش در منطقه شهرک غرب 

سپاس از اعتماد شما...

مشاور : طاهری",https://divar.ir/v/فروش-آپارتمان-۵۰-متری-۱-خوابه-همکف-شهرک-غرب/wZwuUTbu,2025-02-15
فروش آپارتمان 160متری210مترحیاط اختصاصی درفکوری,230,11٬500٬000٬000 تومان,3,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"فکوری 17لاله ده 
4طبقه 9 واحد
طبقه همکف 
160متر بنا 210متر حیاط اختصاصی قیدشده در سند
3خواب 
سرامیک 
ام دی اف
پارکینگ اختصاصی 
آسانسور 
صفر کلید نخورده
املاک سراسری اسدی 
فکوری 17نبش لاله4",https://divar.ir/v/فروش-آپارتمان-160متری210مترحیاط-اختصاصی-درفکوری/wZwG0MY9,2025-02-15
