Title,property size m2,TotalPrice,PriceperMeter,RoomCount,BuildYear,FloorNumber,TotalFloors,Characteristics,Features,Description,URL,CrawlDate
فروش خانه ویلایی 90 متری 2 خوابه در قلعه قبله,90,106,2٬800٬000٬000 تومان,2,1372,Not Found,Not Found,سند: تک‌برگ | وضعیت واحد: بازسازی شده,پارکینگ | انباری | بالکن ندارد | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش بخاری | تأمین‌کننده آب گرم آبگرم‌کن,"منزل ویلایی درب از حیاط سر 2نبش کاملا بازسازی شده سند تک‌برگ
 ماشین رو باامکانات کامل
با تمام انشعابات 
فاضلاب شهری",https://divar.ir/v/فروش-خانه-ویلایی-۹۰-متری-۲-خوابه-در-قلعه-قبله/wZwClS5X,2025-02-15
Not Found,Not Found,Not Found,323٬000٬000 تومان,Not found,Not Found,Not Found,Not Found,Not Found,not found,"ممنون ازبازدیدشما
لطفاتاانتها مطالعه بفرمایید
فروش زمین مسکونی
150 متری شهرک رسالت موقعیت عالی بر10متری 
موقعیت مسکونی فروش محدود150مترمربع مفید زمین فوق ملکی میباشد
زیرقیمت منطقه
فرصت عالی خرید
بهترین موقعیت سرمایه گذاری 
نود درصدقطعه های شهرک فروش رفته است
چون حاشیه سود خوبی دارد وزیر قیمت منطقه میباشد
مناسب دلال و سرمایه گذاراست
آدرس:شیراز بلوار خرمشهربافت جدید کرونی بلوار  شهید سلیمانی(45متری فشارقوی)
شهرک جدید رسالت
بعدازخواندن این آگهی با ما تماس بگیرید 
تابهترین سرمایه گذاری را داشته باشید 
با تشکر ازشما
مشاورشما:خانم زاهدی",Not Found,2025-02-15
Not Found,Not Found,5٬125٬000٬000 تومان,Not Found,2,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
فروش آپارتمان 105 متری 2 خوابه,105,4٬100 تومان,0 تومان,2,1403,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"با سلام. واحد نوساز صفر. دو خواب دارای تراس بزرگ در طبقه دوم بصورت خام.
  هنوز سندآماده و متراژ دقیق مشخص نشده. متری 40 تومن",https://divar.ir/v/فروش-آپارتمان-۱۰۵-متری-۲-خوابه/wZviU-nl,2025-02-15
200متر3خواب/زرگری کوچه نگهبانی دار,200,16٬000٬000٬000 تومان,80٬000٬000 تومان,3,1395,Not Found,Not Found,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی و فرنگی | سرمایش اسپلیت | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"♦️بهترین کوچه زرگری(کوچه18)نگهبانی دار♦️

       ⬅️اثری ازسازنده مطرح استان فارس➡️

✅200متر
✅3خواب مستر
✅سالن بزرگ بانورمستقیم باویودرختی
✅دارای حیاط اختصاصی بدون مشرفیت
✅جمعا6واحد(کم واحد)/تمامی ساکنین گزینشی
✅دارای سالن مهمانی واجتماعات
✅واحددرحدصفرواقعی(5سال خالی میباشد)
✅سندتک برگ ملکی آماده انتقال

♦️کلیدنزداملاک(بازدیددرهرساعات روز)♦️",https://divar.ir/v/۲۰۰متر۳خواب-زرگری-کوچه-نگهبانی-دار/wZOGlO4C,2025-02-15
Not Found,Not Found,Not Found,Not Found,3,Not Found,Not Found,Not Found,Not Found,آسانسور | پارکینگ | انباری,Not Found,Not Found,Not Found
زمین تجاری مسکونی,Not found,120 متر,277٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,"با سلام خدمت شما 
مستقیم از مالک خرید می‌کنید 
زمین تجاری مسکونی بر رو ده متری آب و برق پای زمین هست تفکیک شده مهندسی چهار میخ تحویل میگردد 
متراژهای بالاتر هم موجود میباشد 
اطراف در حال ساخت و ساز و زندگی هستند 
قابل توجه بزرگواران 
با توجه به اینکه الان در حال احداث بزرگترین بیمارستان خاورمیانه فاطمه زهرا و شهرک جدید  شهرک جدید ارتش و پل جدید نواب صفوی که به خاتونک و کرونی متصل می‌شوند در دو سال اخیر بیشترین سود دهی رو در حوزه ملک این منطقه داشته و باز هم خیلی بیشتر جای رشد و توسعه رو داره
پیامک و تماس در خدمت شما بزرگواران هستم 
ساعت تماس نه صبح تا ده شب",https://divar.ir/v/زمین-تجاری-مسکونی/wZSmCDhf,2025-02-15
آپارتمان 174متری 3خوابه طبقه3,174,8٬700٬000٬000 تومان,50٬000٬000 تومان,3,1395,3,4,تعداد واحد در طبقه: ۶ | سند: تک‌برگ | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن | جنس کف سرامیک,".....‌‌..⚜️درود و مهر یزدان پاک را⚜️........
                   ⚜️دپارتمان املاک اعیان بوشهر ⚜️
       حامی بزرگ شما در حفظ و توسعه سرمایه ی زندگیتان
.
.
.
.
،
☑️ 174 متر با نور گیر جنوبی
☑️پذیرایی بزرگ و دلباز
☑️3خواب عالی 
☑️کمد دیواری فضا دار
☑️آشپزخانه بزرگ
منزل نقاشی شده
☑️آسانسور 8 نفره 
☑️حیاط خلوت اختصاصی
☑️پلن بی تکرار 
☑️کف سرامیک80*80
.
.
.
در این مجموعه کم تکرار از پلن های 90 متری و 138 متری 
شخصی ساز هم امکان بازدید دارید.

 این واحد بینظیر در انتظار مالک خوش ذوق 
و مصطفی صادقی مشاور شما در این انتخاب شکیل و ماندگار
.
.
.
با دپارتمان املاک اعیان  بوشهر از موارد مشابه دیگر هم در صورت تمایل دیدن کنید",https://divar.ir/v/آپارتمان-174متری-3خوابه-طبقه3/wZt2__Gl,2025-02-15
زمین مسکونی واقع در جمال آباد خیابان شورزار,Not found,143 متر,300٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,زمین مسکونی در جمال آباد موقعیت عالی اطراف زمین درحال ساخت پول لازمم,https://divar.ir/v/زمین-مسکونی-واقع-در-جمال-آباد-خیابان-شورزار/wZvqRLhj,2025-02-15
کودیان مجموعه ویتامین سی,Not found,500 متر,1٬100٬000٬000 تومان,Not found,Not found,Not Found,Not Found,not found,not found,باغچه 500 متری همراه با اب و برق و سند وکالتی و اسفالت  در مجموعه ویتامین سی  را درب و دیوار و منبع و الاچیق و استخر و کف سازی و محوطه سازی هم سنگ کار شده بسیار زیبا همرابا 40تا درخت میوه اصلاح شده و ابیاری قطره ای معاوضه هم با ماشین و اپارتمان دارم اگه ماشین یا اپارتمان گرونتر هم باشه تا 700ت سرمیدم,https://divar.ir/v/کودیان-مجموعه-ویتامین-سی/wZw2FFxu,2025-02-15
