title,property size,total price,price per metr,room count,build year,floor count,total floor,characteristics,features,description,url,crawl date
فروش واحدهای کوهک (برج و شخصی),104,10٬300٬000٬000 تومان,99٬038٬000 تومان,2,1400,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"با سلام
کافی هستم متخصص خرید و فروش و تهاتر
در منطقه کوهک 
واحدها در متراژهای مختلف با امکانات 
2 خواب و 3 خواب با قیمت‌های مناسب
هم برای سرمایه گذاری هم برای سکونت
برج و شخصی ساز
در طبقات مختلف
موقعیت عالی متناسب با بودجه شما
شروع قیمت پایه از 7 میلیارد 
تا خانه دار شدن شما یک تماس فاصله است
جهت خرید و فروش واحد خود با ما در تماس باشید

مشارکت هم در ساخت و ساز داریم

املاک 4030 با 25 سال سابقه درخشان در امر خرید و فروش با کارشناسان مجرب در خدمت شماست

ما تا آخرین قدم در کنار شما هستیم",https://divar.ir/v/فروش-واحدهای-کوهک-برج-و-شخصی/wZVG-5-b,2025-02-15
واحد3 خواب خوش نقشه/دوجهت افتابگیر/لوکیشن بدون عیب,140,18٬500٬000٬000 تومان,132٬142٬000 تومان,3,1385,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"✅اپارتمان فول امکانات بدون مشابه در منطقه.

⏺️پارکینگ اتباری اسانسور 

⏺️سرایداری مقیم 

⏺️ملک شمالی واحد جنوبی 

⏺️دسترسی بی نظیر به اتوبان صدر خیابان اصلی و……

⏺️واحد و مشاعات فول باز سازی شده 

⏺️زیر قیمت کل 3 خواب های منطقه 

 ✅جهت دریافت اطلاعات بیشتر و بازدید و معرفی فایل های مشابه زیر قیمت منطقه تماس حاصل فرمایید 

✅مشاور و متخصص امور ملکی منطقه 3 شیخی 
دپارتمان املاک ویرا «شمرون»

✅پاسخگویی 24 ساعته بازدید لحظه ای .",https://divar.ir/v/واحد۳-خواب-خوش-نقشه-دوجهت-افتابگیر-لوکیشن-بدون-عیب/wZtyfX0b,2025-02-15
47 متر زیر همکف آذری (اردشیر) پرداختی فقط 1650,47,1٬650٬000٬000 تومان,35٬106٬000 تومان,1,1375,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ ندارد | انباری ندارد,"آذری قدرت پاکی افراخته

47متر تک خواب مستر 

طبقه زیرهمکف کلا 3 تا پله واقعی
 ورودی مجزا تکواحدی 
صفرتاصد بازسازی شده 
کف پارکت کابینت mdf گاز رومیزی هود 

 25متر قدرالسهم (سهم از زمین )

350 در رهن مستاجر 
پرداختی فقط 1/650 
قیمت کل 2 میلیارد 

اسماعیلی",https://divar.ir/v/۴۷-متر-زیر-همکف-آذری-اردشیر-پرداختی-فقط-۱۶۵۰/wZsKLeBJ,2025-02-15
85 متر شمال جردن با 12 متر پاسیو اختصاصی و لابی,85,16٬300٬000٬000 تومان,191٬764٬000 تومان,2,1394,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری,"85 متر بدون پرتی 

تاپ لوکیشن شمال جردن

خوش قیمت

به قیمت رسیده

پارکینگ انباری آسانسور 

لابی 

سرایداری مقیم 

12 متر پاسیو اختصاصی

نورگیر عالی

دسترسی عالی به بزرگراههای اصلی",https://divar.ir/v/۸۵-متر-شمال-جردن-با-۱۲-متر-پاسیو-اختصاصی-و-لابی/wZwyFnC2,2025-02-15
آپارتمان 115 متری 3 خواب مقابل پارک کوروش,115,13٬850٬000٬000 تومان,120٬434٬000 تومان,3,1383,1,5,تعداد واحد در طبقه: ۲ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی نشده,آسانسور | پارکینگ | انباری | بالکن ندارد | جنس کف سنگ | سرویس بهداشتی ایرانی و فرنگی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم موتورخانه,"بنام معمار هستی 


✅ آپارتمان 115 متری  ، خوش نقشه 

✅ 3 خواب بزرگ و پر نور 

✅ هال پذیرایی بزرگ قابلیت چیدمان چندین دست مبل 

✅ داری پاسیوی اختصاصی حدود 5 متر 

✅ آشپزخانه بزرگ و مجهز 

✅ سرایدار مقیم 

✅ دوربین مداربسته 


فروشنده 100 درصد 

➖➖➖➖➖➖➖➖➖➖➖➖➖
املاک رضا : شریعتی ، مقابل پارک کوروش 
➖➖➖➖➖➖➖➖➖➖➖➖➖


مشاور شما : نوری",https://divar.ir/v/آپارتمان-۱۱۵-متری-۳-خواب-مقابل-پارک-کوروش/wZSx7d3X,2025-02-15
50متری1 خواب جنت آباد( مناسب سرمایه گذاری,50,4٬700٬000٬000 تومان,94٬000٬000 تومان,1,1383,Not Found,Not Found,وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ ندارد | انباری ندارد,"جنت آباد شمالی.  فوری فوری 

                   مناسب سرمایه گذاری
 50 متری 1 خواب ..سالن پرده خور ..خطی روبه افتاب 
کف پارکت نقشه عالی 

درکل 6 واحدی فروش فوری فوری

مشاور لطفی",https://divar.ir/v/۵۰متری۱-خواب-جنت-آباد-مناسب-سرمایه-گذاری/wZwiFuPR,2025-02-15
72متر/2خواب/کم واحد/بازسازی شده/2پارکینگ سندی,72,9٬430٬000٬000 تومان,130٬972٬000 تومان,2,1394,Not Found,Not Found,وضعیت واحد: بازسازی شده,آسانسور | پارکینگ | انباری,"توضیحات سلام بنام خالق زیبایی ها  
❇️بهترین انتخاب متناسب بودجه شما❇️  
✅فوری 
✅سرمایه گذاری ___________________________________________________ 72متر
2خواب استاندارد
 سالن خوش چیدمان
پذیرایی خوش چیدمان بدون پرتی
 آشپزخانه پرکابینت  
بازسازی شده  
کم واحد
دارای 2پارکینگ سندی
 مشاعات عالی تاپ لوکیشن منطقه  
دسترسی های خوب و ایده آل به مراکز خرید و تفریحی  امکان گرفتن اخذ وام بانکی تا سقف 900 میلیون  رهن واحد تا مبلغ 1میلیارد  فایل شخصی همکار تماس نگیرد *******************************************************  کافیست نقدینگی خود را اعلام نمایید تا فایل های مشابه و متناسب با بودجه شما را معرفی نماییم  مشاور و کارشناس فروش: خانم ستاری دپارتمان بزرگ تاج محل",https://divar.ir/v/۷۲متر-۲خواب-کم-واحد-بازسازی-شده-۲پارکینگ-سندی/wZmufaGW,2025-02-15
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,آسانسور | پارکینگ | انباری | بالکن | سرویس بهداشتی ایرانی و فرنگی | سرمایش داکت اسپلیت | گرمایش داکت اسپلیت,Not Found,Not Found,Not Found
آپارتمان 64متر/با پارکینگ سلامت/قلب هفت حوض,64,5٬500٬000٬000 تومان,85٬937٬000 تومان,2,1386,1,4,تعداد واحد در طبقه: ۲ | سند: تک‌برگ | جهت ساختمان: جنوبی | وضعیت واحد: بازسازی شده,آسانسور ندارد | پارکینگ | انباری | بالکن | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | گرمایش شوفاژ | تأمین‌کننده آب گرم پکیج,"با سلام و خسته نباشید خدمت شما 

آپارتمان 64متر / دو خواب 

طبقه اول (طبقه اول 2 واحدی و مابقی طبقات تک واحد )

پارکینگ سندی/ انباری / بالکن 

 سند مسکونی با مقعیت اداری /مناسب مشاغل کم رفت و آمد (مطب،حسابداری،دفتر وکالت) 
 
آماده تخلیه و جا به جایی",https://divar.ir/v/آپارتمان-۶۴متر-با-پارکینگ-سلامت-قلب-هفت-حوض/wZr2RN8c,2025-02-15
آپارتمان دوخواب تک واحدی مترو فرهنگسرا جشنواره,80,4٬490٬000٬000 تومان,56٬125٬000 تومان,2,1382,2,4,تعداد واحد در طبقه: ۱ | سند: تک‌برگ | جهت ساختمان: غربی | وضعیت واحد: بازسازی نشده,آسانسور ندارد | پارکینگ | انباری | بالکن ندارد | جنس کف سرامیک | سرویس بهداشتی ایرانی | سرمایش کولر آبی | تأمین‌کننده آب گرم آبگرم‌کن,"سلام و عرض ادب
 
✅80متر دوخواب 
✅تکواحدی 
✅نورگیر مستقیم رو به آفتاب 
✅پارکینگ و انباری سندی 
✅پارکینگ قابلیت جای پارک 2ماشین
✅مشاعات تمیز
✅ بقیمت رسیده 
فاصله تا مترو فرهنگسرا 400متر",https://divar.ir/v/آپارتمان-دوخواب-تک-واحدی-مترو-فرهنگسرا-جشنواره/wZwKGaTf,2025-02-15
